Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
 -GOOGL250516P150,"GOOGL MAY 16 2025 $150 PUT",-50,$6.00 ,$2.50 ,($3000.00),($1250.00),-71.43%,($500.00),-20.00%,-0.10%,"$2,500.00 ",$5.00 ,Margin
META,"META PLATFORMS INC CLASS A COMMON STOCK",4000,$575.00 ,($25.00),"$230,000.00 ","($10,000.00)",-4.17%,"$50,000.00 ",27.78%,7.90%,"$180,000.00 ",$450.00 ,Margin
 -META250417C650,"META APR 17 2025 $650 CALL",-30,$1.50 ,($2.50),($450.00),$750.00 ,62.50%,"$4,500.00 ",90.91%,-0.02%,"$4,950.00 ",$16.50 ,Margin
 -META270115P630,"META JAN 15 2027 $630 PUT",-30,$125.00 ,$15.00 ,($100000.00),($12000.00),-13.64%,($15000.00),-17.65%,-3.44%,"$85,000.00 ",$106.25 ,Margin
MSFT,"MICROSOFT CORP",400,$380.00 ,($10.00),"$15,200.00 ",($400.00),-2.56%,($300.00),-1.94%,0.52%,"$15,500.00 ",$387.50 ,Margin
NVDA,"NVIDIA CORPORATION COM",15000,$110.00 ,($2.00),"$165,000.00 ","($3,000.00)",-1.79%,"$57,000.00 ",52.78%,5.67%,"$108,000.00 ",$72.00 ,Margin
 -NVDA250417C120,"NVDA APR 17 2025 $120 CALL",-50,$1.30 ,($0.40),($650.00),$200.00 ,23.53%,"$1,350.00 ",67.50%,-0.02%,"$2,000.00 ",$4.00 ,Margin
 -NVDA250417P110,"NVDA APR 17 2025 $110 PUT",-20,$5.00 ,$0.75 ,($1000.00),($150.00),-17.65%,($300.00),-42.86%,-0.03%,$700.00 ,$3.50 ,Margin
SMH,"VANECK ETF TRUST SEMICONDUCTR ETF",-13000,$210.00 ,($5.00),($273000.00),"$6,500.00 ",2.33%,"$12,000.00 ",4.21%,-9.38%,"$285,000.00 ",$219.23 ,Short
-SPY250620C580,SPY JUN 20 2025 $580 CALL,-30,$5.37,+$3.23,-$16110.00,+$669.15,+3.98%,+$669.15,+3.98%,-0.60%,$16779.15,$5.59,Margin
-SPY250620P470,SPY JUN 20 2025 $470 PUT,-30,$7.29,-$12.75,-$21870.00,-$680.97,-3.22%,-$680.97,-3.22%,-0.81%,$21189.03,$7.06,Margin
-SPY250620P525,SPY JUN 20 2025 $525 PUT,30,$17.76,-$24.36,$53280.00,+$49.63,+0.09%,+$49.63,+0.09%,1.98%,$53230.37,$17.74,Margin
TCEHY,"TENCENT HOLDINGS LIMITED UNSPON ADR",8000,$65.00 ,$0.00 ,"$52,000.00 ",$0.00 ,0.00%,"$7,000.00 ",15.56%,1.79%,"$45,000.00 ",$56.25 ,Margin
TLT,"ISHARES TR 20 YR TR BD ETF",10800,$90.00 ,$1.25 ,"$162,000.00 ",$2250.00 ,1.41%,--,--,5.57%,--,--,Cash
UBER,"UBER TECHNOLOGIES INC COM",20000,$72.50 ,($2.00),"$145,000.00 ","($4,000.00)",-2.68%,"$11,000.00 ",8.21%,4.98%,"$134,000.00 ",$67.00 ,Margin
 -UBER260116C50,"UBER JAN 16 2026 $50 CALL",100,$26.50 ,($2.00),"$26,500.00 ",($2000.00),-7.02%,"$5,000.00 ",23.26%,0.91%,"$21,500.00 ",$21.50 ,Margin
UPRO,"PROSHARES ULTRAPRO S&P500",-20000,$72.50 ,($4.50),($145000.00),"$9,000.00 ",5.84%,"$16,500.00 ",10.22%,-4.98%,"$161,500.00 ",$80.75 ,Short
